"file","variable","state","ledger","source","kind"
"lassa_sitrep_2019_w01_20190101.pdf","confirmed","Ebonyi",NA,1,"missing from ledger"
"lassa_sitrep_2019_w01_20190101.pdf","confirmed","Plateau",NA,1,"missing from ledger"
"lassa_sitrep_2019_w01_20190101.pdf","deaths","Plateau",NA,1,"missing from ledger"
"lassa_sitrep_2019_w03_20190114.pdf","deaths","Plateau","0",2,"value differs"
"lassa_sitrep_2019_w12_20190323.pdf","confirmed","Plateau",NA,2,"missing from ledger"
"lassa_sitrep_2019_w14_20190406.pdf","deaths","Taraba","0",1,"value differs"
"lassa_sitrep_2019_w24_20190614.pdf","deaths","Edo","2",NA,"not in source"
"lassa_sitrep_2019_w44_20191101.pdf","deaths","Edo","0",1,"value differs"
